MolecularFormula,split,smiles,Activity(IC50),Activity(pIC50)
C18H19F2N3O2,valid,Cc1nc(C(=O)N2CCOCC2)cc(-c2ccc(F)cc2F)c1CN,50000,4.301029996
C18H21N3O2,valid,COc1ccc(-c2cc(C(=O)NC3CC3)c(CN)c(C)n2)cc1,50000,4.301029996
C22H27N3O2,valid,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NC(=O)c2cccc3ccccc23)C1,230,6.638272164
C18H25N3O5S,valid,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,72,7.142667504
C17H22FN3O3S,valid,N[C@@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc(F)c2)C1,1200,5.920818754
C15H18F3N3O3,valid,N[C@@H](CC(=O)N1CCNC(=O)[C@H]1CO)Cc1cc(F)c(F)cc1F,12,7.920818754
C18H25FN2,valid,N#CC1CCC/C1=C(/F)CNC12CC3CC(CC(C3)C1)C2,12000,4.920818754
C15H19NO2S,valid,S=C(CNCc1ccc2c(c1)OCO2)C1CCCC1,1000000,3
C12H23FN2,valid,CN(C)CCCNCC(F)=C1CCCC1,1000000,3
C22H24FN3O2,valid,CC(C)Cc1nc2ccc(OCC(N)=O)cc2c(-c2ccc(F)cc2)c1CN,26,7.585026652
C22H25N3O3,valid,CC(C)Cn1c(CN)c(-c2ccccc2)c2cc(OCC(N)=O)ccc2c1=O,47,7.327902142
C22H25ClN2O,valid,CC(C)Cn1c(CN(C)C)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,100000,4
C19H19ClN2O,valid,CCCn1c(CN)c(-c2ccccc2)c2cc(Cl)ccc2c1=O,2400,5.619788758
C29H29F2N3O2,valid,O=C(CCC(=O)N1Cc2ccccc2C1)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,100000,4
C23H27FN4O2,valid,N[C@@H](CC(=O)N1CCN(Cc2ccc(F)cc2)CC1)C(=O)N1Cc2ccccc2C1,100000,4
C22H25FN6O2,valid,Cn1c(=O)c2c(cc(N3CCC[C@@](C)(N)C3)n2Cc2cc(F)ccc2C#N)n(C)c1=O,1.1,8.958607315
C23H27FN6O2,valid,CC[C@@]1(N)CCCN(c2cc3c(c(=O)n(C)c(=O)n3C)n2Cc2cc(F)ccc2C#N)C1,26,7.585026652
C22H28FN3O,valid,CN1CCN(C(=O)C[C@H](N)Cc2ccccc2F)[C@H](Cc2ccccc2)C1,225,6.647817482
C13H17ClN2OS,valid,N[C@@H](CC(=O)N1CCSC1)Cc1ccc(Cl)cc1,3028,5.518844129
C10H16N4O,valid,CCC(C)[C@@H](N)C(=O)N1N=CCC1C#N,80,7.096910013
C13H17FN2OS,valid,N[C@@H](CC(=O)N1CCSC1)Cc1ccccc1F,931,6.031050319
C22H24F3N3O2,valid,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)c(F)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,21,7.677780705
C9H18N2OS,valid,CC[C@@H](C)[C@H](N)C(=O)N1CCSC1,460,6.337242168
C20H24F3N7O2,valid,Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)c(C(F)(F)F)n2n1,32,7.494850022
C19H25N7O3,valid,Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)c(O)n2n1,1.8,8.744727495
C15H18F4N2O,valid,C[C@@H](c1ccc(C(F)(F)F)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,600,6.22184875
C29H30N8O2,valid,CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1c(C#N)cnc3ccccc13)c(=O)n2C,5.5,8.259637311
C19H18F8N4O,valid,N[C@@H](CC(=O)N1CCc2nn(CC(F)(F)F)c(C(F)(F)F)c2C1)Cc1cc(F)ccc1F,150,6.823908741
C28H28N6O3,valid,COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CCC[C@H](N)C4)n(Cc4ccccc4)c3c2=O)c1,4,8.397940009
C26H26N8O,valid,CC#CCn1c(N2CCCNCC2)c(C#N)c2ncn(Cc3nc(C)c4ccccc4n3)c(=O)c21,9,8.045757491
C21H24N6O2,valid,Cn1c(=O)c2c(c(C#N)c(N3CCC[C@H](N)C3)n2Cc2ccccc2)n(C)c1=O,10,8
C20H21F3N2O,valid,C[C@@H](c1ccc(-c2ccc(F)c(F)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,60,7.22184875
C10H23BN2O3,valid,CCCC[C@@H](NC(=O)[C@@H](N)CCC)B(O)O,810,6.091514981
C13H25BN2O3,valid,O=C(CNC1CCCCCC1)N1CCC[C@H]1B(O)O,7.8,8.107905397
C19H19BrN6O,valid,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2[nH]c(Br)cc2c1=O,2.64,8.578396073
C21H19Cl2N3O2,valid,N#C[C@@H]1CCCN1C(=O)CNC(=O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,100000,4
C18H17N3O2,valid,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccc2ccccc2c1,100000,4
C15H17N3O3,valid,COc1cccc(C(=O)NCC(=O)N2CCC[C@H]2C#N)c1,100000,4
C22H29N5OS,valid,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)c2ccccc2n1,0.56,9.251811973
C22H26N6OS,valid,N#Cc1cnc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)c2ccccc12,0.51,9.292429824
C10H21BN2O4,valid,CC(C)(C)[C@H](N)C(=O)N1C[C@H](O)C[C@H]1B(O)O,59,7.229147988
C9H17BN2O5,valid,O=C([C@@H]1C[C@H](O)CN1)N1C[C@@H](O)C[C@H]1B(O)O,15,7.823908741
C21H21F3N4O,valid,N#Cc1ccc(N2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc1,101,6.995678626
C22H22F3N3O4,valid,N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(C(=O)O)cc2)CC1)Cc1cc(F)c(F)cc1F,53.4,7.272458743
C23H22F3N3O3,valid,N[C@@H](CC(=O)N1CCN(C(=O)c2cc3ccccc3o2)CC1)Cc1cc(F)c(F)cc1F,76.2,7.118045029
C16H21N3O3,valid,NC(=O)[C@@H]1CCCN1C(=O)CCCNC(=O)c1ccccc1,298,6.525783736
C16H16N4O2,valid,N#Cc1ccc(C(=O)NCCC(=O)N2CCC[C@H]2C#N)cc1,10.3,7.987162775
C18H22ClN3O2,valid,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccc(Cl)cc2C1,50,7.301029996
C14H22N4O,valid,CC(C)C(C)(C)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,3000,5.522878745
C14H22N4O,valid,CCC(C)(CC)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,3000,5.522878745
C15H22N4O2,valid,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CCO)CCCC1,3000,5.522878745
C22H25FN6O2,valid,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3ncnc3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,5.3,8.27572413
C22H27N5O3,valid,CC(C)=CCn1c(N2CCC[C@@H](N)C2)nc2c3cc(C(=O)O)ccc3n(C)c(=O)c21,51,7.292429824
C25H26ClN5O3,valid,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccc(CC(=O)O)cc21,3.8,8.420216403
C24H24ClF2N5O2,valid,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2cc(OC(F)F)ccc21,60,7.22184875
C24H26ClN5O2,valid,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccc(CO)cc21,22,7.657577319
C25H28ClN5O,valid,CCCn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccccc21,3400,5.468521083
C25H28ClN5O2,valid,COCc1ccc2c3nc(N4CCC[C@@H](N)C4)n(Cc4ccccc4Cl)c3c(=O)n(C)c2c1,17,7.769551079
C25H26ClN5O3,valid,COC(=O)c1ccc2c3nc(N4CCC[C@@H](N)C4)n(Cc4ccccc4Cl)c3c(=O)n(C)c2c1,16,7.795880017
C22H28N8OS,valid,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(C#N)cn2)n1,15,7.823908741
C22H30N6OS,valid,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,0.37,9.431798276
C17H19N5O3,valid,COc1cccc(-c2c(CN)c(N)nc3c2c(=O)n(C)c(=O)n3C)c1,2800,5.552841969
C16H16ClN5O2,valid,Cn1c(=O)c2c(-c3ccccc3Cl)c(CN)c(N)nc2n(C)c1=O,33,7.48148606
C19H22N4O2,valid,CN1C(=O)C=C(N2CCC[C@@H](N)C2)C(Cc2ccccc2C#N)C1=O,4,8.397940009
C17H20F2N4O2,valid,C[C@H](c1nc(-c2ccccc2C(F)F)no1)[C@H](N)C(=O)N1CCCC1,1820,5.739928612
C16H20F3N3O2,valid,C[C@H]1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,150,6.823908741
C16H21F2N3O2,valid,C[C@@H]1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,14,7.853871964
C17H19F6N3O2,valid,N[C@@H](CC(=O)N1CCCNC(=O)[C@H]1CC(F)(F)F)Cc1cc(F)c(F)cc1F,2.6,8.585026652
C25H27N5O3,valid,O=C([C@@H]1C[C@H](n2cc(-c3ccccc3)nn2)CN1C(=O)OCc1ccccc1)N1CCCC1,100000,4
C27H30ClN5O2,valid,O=C([C@@H]1C[C@H](n2cc(-c3ccccc3Cl)nn2)CN1C(=O)CCCc1ccccc1)N1CCCC1,100000,4
C15H21N3OS,valid,O=C([C@@H]1C[C@H](NCc2ccccc2)CN1)N1CCSC1,181,6.742321425
C17H23N3OS,valid,O=C([C@@H]1C[C@H](N2CCCc3ccccc32)CN1)N1CCSC1,112,6.950781977
C14H18N4O3S,valid,O=C([C@@H]1C[C@H](Nc2ccc([N+](=O)[O-])cc2)CN1)N1CCSC1,19.2,7.716698771
C13H17N5OS,valid,N#Cc1ccc(NCCNCC(=O)N2CCSC2)nc1,270,6.568636236
C24H25N5OS,valid,N#Cc1ccc(CN(Cc2ccc(C#N)cc2)[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,6.4,8.193820026
C16H16F3N3,valid,N[C@H]1CN(c2ccccn2)CC[C@@H]1c1cc(F)c(F)cc1F,58,7.236572006
C17H15F6N3,valid,N[C@H]1CN(c2ncccc2C(F)(F)F)CC[C@@H]1c1cc(F)c(F)cc1F,650,6.187086643
C18H16F3N5,valid,N[C@H]1CN(c2cnc3cccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F,130,6.886056648
C17H15F3N6,valid,N[C@H]1CN(c2cnc3nccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F,13,7.886056648
C22H26FN3O2,valid,N[C@@H](CC(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)Cc1ccccc1F,539,6.268411235
C13H20N4O2,valid,CN(C)C(=O)[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,1.8,8.744727495
C14H22N4O2,valid,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N(C)C,10,8
C11H17N3O2,valid,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](CO)CN1,6.3,8.200659451
C25H25FN6O,valid,CC#CCn1c(N2CCC[C@@H](N)C2)nc2ccn(Cc3ccc4ccc(F)cc4n3)c2c1=O,4.67,8.330683119
C19H19N3,valid,N[C@H]1CN(c2ccc3ccccc3n2)C[C@@H]1c1ccccc1,3000,5.522878745
C16H16N4,valid,N#Cc1cccnc1N1C[C@H](c2ccccc2)[C@@H](N)C1,3000,5.522878745
C22H21FN4O3,valid,N[C@H]1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@H]1c1ccccc1,150,6.823908741
C19H23N2O5P,valid,N[C@@H](CO)C(=O)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,503000,3.298432015
C17H16N4O2,valid,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1cccc2cccnc12,100000,4
C17H15ClN4O2,valid,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2ccc(Cl)cc12,100000,4
C18H15F3N4O3,valid,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2ccc(OC(F)(F)F)cc12,100000,4
C20H25F4N3O2,valid,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccccc2C(F)(F)F)CC1,210,6.677780705
C17H24ClN5OS,valid,O=C([C@@H]1C[C@H](N2CCN(c3ccc(Cl)cn3)CC2)CN1)N1CCSC1,2.5,8.602059991
C23H23FN6O,valid,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccc(F)cc3)nn2)cc1,3.79,8.42136079
C24H26N6O2,valid,COc1cccc(Cn2cc(-c3ccc(C[C@H](N)C(=O)N4CCC[C@H]4C#N)cc3)nn2)c1,7.5,8.124938737
C23H24N6O,valid,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccccc3)nn2)cc1,9.39,8.027334408
C20H19F3N4O,valid,N[C@H]1C[C@@H](n2cc3cnc(C4CC4)nc3c2)CO[C@@H]1c1cc(F)c(F)cc1F,140,6.853871964
C22H26F2N4O,valid,CC1(C)c2nc(C3CC3)ncc2CN1[C@H]1CO[C@H](c2cc(F)ccc2F)[C@@H](N)C1,27,7.568636236
C16H18F2N4O,valid,N[C@H]1C[C@H](N2Cc3cn[nH]c3C2)CO[C@@H]1c1cc(F)ccc1F,56,7.251811973
C22H31F2N3O2,valid,C[C@@H](C1CCC(N(C)C(=O)c2cccc(F)c2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,92,7.036212173
C24H28F2N4O3,valid,CN(C)C(=O)[C@@H](c1ccc(N(C)C(=O)c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,28,7.552841969
C24H22F6N4O,valid,N[C@@H](CC(=O)N1CCc2c(nc(C(F)(F)F)n2Cc2ccc(F)cc2)C1)Cc1cc(F)ccc1F,250,6.602059991
C20H23N5O,valid,N#C[C@@H]1CCCN1C(=O)[C@@H]1CN(Cc2cnc3ccccc3c2)C[C@@H]1N,6.2,8.207608311
C18H20F3N5O,valid,N[C@@H](CC(=O)N1CCn2nc(C3CC3)nc2C1)Cc1cc(F)c(F)cc1F,71,7.148741651
C17H21N7O2,valid,N[C@H]1CN(C(=O)c2ccc(-n3cnnn3)cc2)C[C@H]1C(=O)N1CCCC1,30,7.522878745
C19H23N5O,valid,CC(c1ccc(C#N)cc1)N1C[C@H](N)[C@H](C(=O)N2CCC[C@H]2C#N)C1,5.5,8.259637311
C14H13N3,valid,NCc1c(-c2ccccc2)ccc2nc[nH]c12,12000,4.920818754
C26H29N7O,valid,CC#CCn1c(N2CCCC(N)C2)nc2c(C)nn(Cc3nc(C)cc4ccccc34)c(=O)c21,7,8.15490196
C22H23N7O2,valid,CC#CCn1c(N2CCCC(N)C2)nc2cnn(Cc3nc4ccccc4o3)c(=O)c21,4,8.397940009
C25H29N5O,valid,CC#CCn1c(C(=O)N(C)Cc2cccc3ccccc23)cnc1N1CCCC(N)C1,3059,5.514420523
C24H26N8O,valid,CC#CCn1c(N2CCCNCC2)nc2cnn(Cc3nc(C)c4ccccc4n3)c(=O)c21,3,8.522878745
C15H24N4O2,valid,CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N2CCCC2)[C@H](C)N1,16,7.795880017
C17H18ClN3,valid,CCc1nc2ccc(-c3ccccc3Cl)c(CN)c2n1C,97,7.013228266
C17H26N6O3,valid,Cc1nc(N2CCN(C(=O)[C@@H]3CN[C@H](C(=O)N4CCCC4)C3)CC2)no1,604,6.218963061
C20H27F2N3O3,valid,N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,27,7.568636236
C18H24F3N3O3S,valid,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,58,7.236572006
C20H32N4O2,valid,N#C[C@@H]1CCCN1C(=O)CN[C@H]1CC[C@H](NC(=O)C2CCCCC2)CC1,18,7.744727495
C18H24F2N4O2S,valid,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(F)c(F)c2)CC1,35,7.455931956
C21H27N3O3S2,valid,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CC1,18,7.744727495
C23H29N3O3S,valid,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc3ccccc3c2)CC1,20,7.698970004
C18H24Cl2N4O2S,valid,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(Cl)c(Cl)c2)CC1,17,7.769551079
C15H16F3N3O,valid,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1C(F)(F)F,46,7.337242168
C14H15F2N3O,valid,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccc(F)cc1,3,8.522878745
C23H24ClN3O,valid,NC[C@]1(c2cccc(Cl)c2)CC[C@H](n2nc(-c3ccccc3)ccc2=O)CC1,3,8.522878745
C17H16ClFN4OS,valid,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1csc(-c2ccc(Cl)cc2)n1,50,7.301029996
C18H16F4N4OS,valid,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1csc(-c2ccc(C(F)(F)F)cc2)n1,50,7.301029996
C22H24N6,valid,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(-c4nn[nH]n4)cc23)cc1,9.2,8.036212173
C27H30N4O2,valid,N[C@@H](CC(=O)N1CCN(Cc2ccc3ccccc3c2)CC1)C(=O)N1Cc2ccccc2C1,100000,4
C25H33N3O3,valid,Cc1ccc(-c2c(CC(=O)N3CCC[C@H]3C(=O)O)c(C)nc(CC(C)C)c2CN)cc1,2.9,8.537602002
C22H29N3O3,valid,Cc1ccc(-c2c(CC(=O)NCC(=O)O)c(C)nc(CC(C)C)c2CN)cc1,73,7.13667714
C20H22N6O2,valid,N#C[C@@H]1CCCN1C(=O)Cn1cc(CCC(=O)N2Cc3ccccc3C2)nn1,100000,4
C10H12N6O2,valid,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1nc[nH]n1,100000,4
C12H14N4O3,valid,Cc1ncoc1C(=O)NCC(=O)N1CCC[C@H]1C#N,100000,4
C20H17FN6O2,valid,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2[nH]c(-c3ccc(F)cc3)nc12,100000,4
C16H17N3O2,valid,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,100000,4
C18H16F2N4O,valid,N#Cc1ccc(N2C[C@H](CN)[C@@H](c3cc(F)ccc3F)CC2=O)cn1,404,6.393618635
C18H15F5N6O,valid,NC[C@H]1CN(c2ccc3nc(C(F)(F)F)nn3n2)C(=O)C[C@@H]1c1cc(F)ccc1F,74,7.13076828
C18H14F6N6O,valid,NC[C@H]1CN(c2ccc3nc(C(F)(F)F)nn3n2)C(=O)C[C@@H]1c1cc(F)c(F)cc1F,111,6.954677021
C20H22N6O,valid,Cn1c(=O)n(Cc2ccccc2C#N)c2c(N3CCC[C@@H](N)C3)ccnc21,13,7.886056648
C20H22N6O,valid,Cn1c(=O)n(Cc2cccc(C#N)c2)c2c(N3CCC[C@@H](N)C3)ccnc21,88000,4.055517328
C15H17F2N3O,valid,N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1ccc(F)cc1,320,6.494850022
C15H15F4N3O,valid,N#C[C@@H]1C[C@H](F)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,50,7.301029996
C19H25N3O,valid,Cc1ccccc1C[C@@H](N)CC(=O)N1[C@H](C#N)C[C@@H]2CCC[C@@H]21,360,6.443697499
C25H33F3N2O3,valid,N[C@@H](CC(=O)N1[C@H](COC(=O)C2CCCC2)C[C@@H]2CCCC[C@@H]21)Cc1cc(F)c(F)cc1F,180,6.744727495
C27H27ClN6O6,valid,Cn1c(=O)n(Cc2cc(C(=O)O)cc(C(=O)O)c2)c(=O)c2c1nc(N1CCC[C@@H](N)C1)n2Cc1ccccc1Cl,500,6.301029996
C26H29N2O4P,valid,O=C(CNC1CCCC1)NC(c1ccccc1)P(=O)(Oc1ccccc1)Oc1ccccc1,125000,3.903089987
C18H16Cl2N4,valid,Cc1cccc(-c2nc(N)c(CN)c(-c3ccc(Cl)cc3Cl)n2)c1,0.9,9.045757491
C11H20N2O2,valid,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](O)C1,4600,5.337242168
C22H28N4O2,valid,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,94,7.026872146
C13H16F2N2OS,valid,N[C@@H](CC(=O)N1CCSC1)Cc1c(F)cccc1F,8476,5.071809052
C15H19F2N,valid,FC(CNCc1ccc(F)cc1)=C1CCCCC1,250000,3.602059991
C24H24N8O3,valid,CC#CCn1c(N2CCNC(=O)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,50000,4.301029996
C28H27N9O3,valid,CC#CCn1c(NCCNC(=O)c2ccncc2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,50000,4.301029996
C22H23N7O2,valid,CC#CCn1c(N2CCNCC2)nc2c1c(=O)n(Cc1cccc(C#N)c1)c(=O)n2C,340,6.468521083
C28H27N7O2,valid,CC#CCn1c(N2CCNCC2)nc2c1c(=O)n(Cc1ccc(-c3ccccc3C#N)cc1)c(=O)n2C,1800,5.744727495
C24H26N8O2,valid,CC#CCn1c(N2CCNCC2)nc2c1c(=O)n(Cc1ccc(-n3cccn3)cc1)c(=O)n2C,1440,5.841637508
C21H22F3N3O2,valid,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC(F)(F)C1,29,7.537602002
C21H23F4N5O4,valid,N[C@@H](CC(=O)N1CCc2c(nc(-c3ccco3)nc2C(F)(F)F)C1)CN1C(=O)CCC(F)C1O,81,7.091514981
C24H29F2N3O2,valid,CCN(CC)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,59,7.229147988
C24H30N6O3,valid,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,5,8.301029996
C28H34F3N3O6,valid,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cccc(OC(F)(F)F)c2)cc1)C(=O)O,295,6.530177984
C18H22F2N4O3S,valid,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CCO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,2.3,8.638272164
C23H22F5N5O,valid,N[C@H]1C[C@@H](N2Cc3cnn(-c4ccc(C(F)(F)F)cn4)c3C2)CCO[C@@H]1c1cc(F)ccc1F,5.9,8.229147988
C21H25FN2O2,valid,COc1ccccc1-c1ccc([C@H](C)[C@H](N)C(=O)N2CC[C@H](F)C2)cc1,110,6.958607315
C27H33N9O,valid,CC(C)=CCn1c(N2CCC[C@@H](N)C2)nc2c1C(=O)N(Cc1nc(C)c3ccccc3n1)C1=NCCN12,1.6,8.795880017
C28H31N7O,valid,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1C(=O)N(Cc1cccc3ccccc13)C1=NCCCN12,44,7.356547324
C22H24N10O,valid,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1C(=O)N(Cc1nccc(C#N)n1)C1=NCCN12,11,7.958607315
C28H33BrN6O5,valid,CC#CCn1c(N2CCC[C@@H](NC(=O)OC(C)(C)C)C2)nc2c1c(=O)n(CC(=O)c1ccccc1Br)c(=O)n2C,2,8.698970004
C16H27BN2O4,valid,O=C(CNC12CC3CC(CC(O)(C3)C1)C2)N1CCC[C@H]1B(O)O,72,7.142667504
C16H27BN2O3S,valid,OB(O)[C@@H]1CCCN1C(=S)CNC12CC3CC(CC(O)(C3)C1)C2,40000,4.397940009
C10H22BN5O2S,valid,N=C(N)NCCC[C@H](N)C(=S)N1CCC[C@H]1B(O)O,1.2,8.920818754
C15H20N2O3,valid,O=C(CNCc1ccc2c(c1)OCO2)N1CCCCC1,1000000,3
C21H25F2N3O,valid,N[C@@H](CC(=O)N1CCNC[C@H]1Cc1ccccc1)Cc1cc(F)ccc1F,51,7.292429824
C21H27F2N5O2S,valid,CS(=O)(=O)n1cc2c(n1)CN([C@@H]1C[C@H](N)C(c3cc(F)ccc3F)N(CC3CC3)C1)C2,1.6,8.795880017
C22H28F4N6,valid,N[C@H]1C[C@@H](N2Cc3cn[nH]c3C2)CN(CCN2CCC(F)(F)C2)C1c1cc(F)ccc1F,25.4,7.595166283
C18H17F7N4O,valid,N[C@@H](CC(=O)N1CCc2n[nH]c(C(F)(F)C(F)(F)F)c2C1)Cc1cc(F)ccc1F,160,6.795880017
C18H23F2N5O3S,valid,CCS(=O)(=O)Nc1n[nH]c2c1CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,1.1,8.958607315
C17H13Cl3N4,valid,NCc1c(N)nc(-c2cccc(Cl)c2)nc1-c1ccc(Cl)cc1Cl,240,6.619788758
C22H26N6O2,valid,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CCCC1,63,7.200659451
C12H11ClN2,valid,NCc1cccnc1-c1ccccc1Cl,3300,5.48148606
C19H22FN3O2,valid,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC(F)C1,31,7.508638306
C17H12Cl2F2N4,valid,NCc1c(N)nc(-c2ccc(F)c(F)c2)nc1-c1ccc(Cl)cc1Cl,3,8.522878745
C21H19F6N5,valid,N[C@H]1C[C@@H](N2Cc3nn4ccc(C(F)(F)F)nc4c3C2)CC[C@@H]1c1cc(F)c(F)cc1F,1.1,8.958607315
C20H17F6N5O,valid,N[C@H]1C[C@@H](N2Cc3nn4c(C(F)(F)F)ccnc4c3C2)CO[C@@H]1c1cc(F)c(F)cc1F,1.4,8.853871964
C14H20N4O3,valid,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCOCC1,1220,5.913640169
C22H23FN8O2,valid,CCN1C(=O)Cn2c1nc1nc(N3CCC[C@@H](N)C3)n(Cc3cc(F)ccc3C#N)c1c2=O,13.5,7.869666232
C16H20F3N3O2,valid,C[C@@H]1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,6.6,8.180456064
C25H31N7O4,valid,C/C=C/Cn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(C)=O)c(=O)n2C,2,8.698970004
