MolecularFormula,split,smiles,Activity(IC50),Activity(pIC50)
C17H24N2O3,train,CCC(C)C(N)C(=O)N1CCC(OC(=O)c2ccccc2)C1,500000,3.301029996
C12H24N2O,train,CCC(C)C(N)C(=O)N1CCCCCC1,374000,3.427128398
C11H22N2O,train,CCC(C)C(N)C(=O)NC1CCCC1,1000000,3
C10H19FN2O,train,CCC(C)C(N)C(=O)N1CCC(F)C1,3500,5.455931956
C8H18N4O,train,NCCC(N)C(=O)N1CCNCC1,1000000,3
C9H19N3S,train,NCC[C@H](N)C(=S)N1CCCCC1,1000000,3
C8H17N3OS,train,NCCCC(N)C(=O)N1CCSC1,81000,4.091514981
C9H19N3OS,train,NCCCCC(N)C(=O)N1CCSC1,318000,3.49757288
C12H25N3O,train,NCCCCC(N)C(=O)N1CCCCCC1,1000000,3
C15H10O6,train,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,132000,3.879426069
C10H18BNO3,train,O=C(C1CCC[C@H]1B(O)O)[C@@H]1CCCN1,88200,4.054531415
C16H12N2O4,train,Cc1cccc(C)c1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,337500,3.471726223
C18H17NO3,train,CCc1cccc(CC)c1N1C(=O)c2cccc(O)c2C1=O,43300,4.363512104
C15H10N2O4S,train,CSc1ccccc1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,318200,3.497299825
C19H24N2O2,train,Cc1ccc(-c2c(CN)c(CC(C)C)nc(C)c2C(=O)O)cc1,22,7.657577319
C26H31F3N4O4S,train,CC(C)[C@@H](Nc1ccc(CNC(=O)[C@H]2SCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1)C(=O)O,10,8
C15H10O8,train,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,37150,4.430041182
C17H19N5O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nccc1=O,14,7.853871964
C17H18FN5O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(F)c1=O,6,8.22184875
C17H18ClN5O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(Cl)c1=O,7,8.15490196
C18H20BrN5O,train,Cc1nc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c(=O)c1Br,8,8.096910013
C21H26BrN5O,train,CC(C)(C)c1nc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c(=O)c1Br,7400,5.13076828
C17H18IN5O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(I)c1=O,6,8.22184875
C19H23N5O,train,CCc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,17,7.769551079
C18H21N5O2,train,COc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,4,8.397940009
C23H23N5O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc(-c2ccccc2)cc1=O,23,7.638272164
C23H23N5O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccccc2)c1=O,23,7.638272164
C24H25N5O,train,Cc1nc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c(=O)c1-c1ccccc1,540,6.26760624
C24H25N5O2,train,COc1ccccc1-c1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,990,6.004364805
C21H21N5O2,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccoc2)c1=O,12,7.920818754
C22H23N5O2,train,Cc1nc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c(=O)c1-c1ccoc1,77,7.113509275
C21H22N6O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2cc[nH]c2)c1=O,5,8.301029996
C21H26N6O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(N2CCCC2)c1=O,200,6.698970004
C19H19N5O,train,C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,5,8.301029996
C20H21N5O,train,CC#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,5,8.301029996
C20H21N5O2,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(C#CCO)c1=O,20,7.698970004
C23H27N5O,train,CC(C)(C)C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,570,6.244125144
C25H25N5O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2ccccc2)c1=O,22,7.657577319
C25H24FN5O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2ccc(F)cc2)c1=O,21,7.677780705
C24H24N6O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(/C=C/c2cccnc2)c1=O,6,8.22184875
